Name	corrected
#इसे	# इसे
#एक	# एक
#नहीं	# नहीं
#पहला	# पहला
$greenऔर	$green और
$चिह्न	$ चिह्न
%मॉड्यूलस	%modulus
*ग्रिड्स	*grids
+	 =+
++	 =++
+>	 =+>
+alt+	 =+alt+
+s	 =+s
01/01/2017	1/1/2017
05/23/2018	5/23/2018
0और	0 और
0पर	0 पर
0वें	0 वें
1/2	2-Jan
10/02/1980	10/2/1980
100वें	100 वें
108वें	108 वें
10:	10:00
115वें	115 वें
11:	11:00
12/7/11	12/7/2011
120वें	120 वें
128वें	128 वें
12:	12:00
12भारतीय	12 भारतीय
12लैस	12 लैस
13तक	13 तक
1404chimeraवर्जन	1404chimera वर्जन
140वें	140 वें
16वाँ	16 वाँ
1:	1:00
1और	1 और
1के	1 के
1क्लोज	1close
1निम्न	1 निम्न
1से	1 से
1सेट	1 सेट
2/2	2-Feb
201808210005590	2.02E+14
21फोर्मेट	21format
23वें	23 वें
24Dec15	24-Dec-15
24December15	24-Dec-15
24घंटे	24 घंटे
24वें	24 वें
25312913273512	2.53E+13
29आता	29 आता
2:	2:00
2:1	2:01
2d_3d_प्लॉट्स	2d_3d_plots
2आया	2 आया
2जो	2 जो
2डाइमेंशनल	2dimensional
3/4	4-Mar
30वें	30 वें
37वें	37 वें
3:	3:00
3:15 PM	3:15 PM
3:2	3:02
40से	40 से
45वें	45 वें
4:	4:00
4अंक	4 अंक
4ठीक	4 ठीक
5:	5:00
6:	6:00
7/5	5-Jul
72वें	72 वें
7:	7:00
7:5	7:05
8/3	3-Aug
8/81	Aug-81
80वें	80 वें
89वें	89 वें
8:	8:00
8में	8 में
90वें	90 वें
9783319472386	9.78E+12
98वें	98 वें
99वें	99 वें
9:	9:00
:लीनियर	: लीनियर
<सेमीकोलन>	< सेमीकोलन
<स्पेस>	< स्पेस
 =	 =
@के	@ के
`firstnamelastnameजन्म	`firstnamelastname जन्म
aboutइस	about इस
actionएक्शनmysql	actionmysql
addबटन	addbutton
admin2को	admin2 को
alexऔर	alex और
analysisविकल्प	analysis विकल्प
anilineकी	aniline की
antiएलिएस्ट	antieliest
appletविंडो	appletwindow
applyआइकन	applyicon
applyपर	apply पर
applyबटन	applybutton
asपर	as पर
asपास	as पास
attendanceलेना	attendance लेना
autocorrectस्वसुधारयहाँ	autocorrect स्वसुधारयहाँ
automaticऑप्शन	automaticoption
avogadroको	avogadro को
avogadroपर	avogadro पर
avogadroविंडो	avogadrowindow
axesपर	axes पर
blockmeshdictध्यान	blockmeshdict ध्यान
blockmeshध्यान	blockmesh ध्यान
blocksजो	blocks जो
blockका	block का
blockरेडिश	blockradish
bondचुनुगीं	bond चुनुगीं
booksissuedबुक्स	booksissuedbooks
boundsटेक्स्ट	boundstext
bromoइथेन	bromoethane
bufferedreaderऑब्जेक्ट	bufferedreaderobject
builderपैनल	panel
builtइन	builtin
byteदरbyte	byte दर
canvasपर	canvas पर
carbonकी	carbon की
carbonडाईऑक्साइड	carbondioxide
carboकैटाइअन	carbocation
carboकैटायन	carbocation
characterचुनें	character चुनें
checkइन	checkin
cmlलिखें	cml लिखें
colon/सेमीकॉलन	colon/semicolon
commentकमेंटकर	commentcommenter
commitsऔर	commits और
company/huf/firmया	company/huf/firm या
compatibleपीसी	compatiblepc
complexके	complex के
conditionशर्त	condition शर्त
constructorsकंस्ट्रक्टर्स	constructors
content/फिर	content/ फिर
contentदरcontent	content दर
countफ्प	countfp
cकोडेड	ccoded
cलाइन	cline
dataमैपिंग	datamapping
dateडेटका	date का
dateडेटफंक्शन	datedatefunctions
deactivateपर	deactivate पर
defaultकांटेक्ट	defaultcontact
desktopऑप्शन	desktopoption
detailsको	details को
detailsटेक्स्ट	detailstext
directoriesजो	directories जो
directory/home/anirban/arc/से	directory/home/anirban/arc/ से
discreteअसतत	discrete असतत
division/और	division/ और
diसल्फाइड	disulfide
documentऑप्शन	documentoption
documentके	document के
doubleक्लिक	doubleclick
downडायरेक्सन	downdirection
echoएको	echo एको
echoएकोphp	echo एको
ellipseटूल	ellipsetool
emailइसे	email इसे
emailयह	email यह
englishचुनें	english चुनें
enterदबाएँ	enter दबाएँ
errorरिपोर्टिंग	errorreporting
extentमें	extent में
FALSE	FALSE
falseहोती	FALSE होती
fieldआप	field आप
filenewअतः	filenew अतः
filesआदि	files आदि
fileऔर	file और
floatके	float के
fockवेव	fock वेव
fogस्लाइडर	fogslider
fosseeऑपरेटिंग	fosseeoperating
fourऔर	four और
galleryमें	gallery में
gaussianकम्प्यूटेशनल	gaussiancomputational
genderलिंग	gender लिंग
generalमेनू	generalmenu
getको	get को
getगेट	get
gmshस्टार्ट	gmshstart
gnu/लिनक्स	gnu/linux
graphicsइन्क्लूड	graphicsincludes
hairस्टाइल	hairstyle
helpआइकन	helpicon
highकी	high की
historyयह	history यह
hostजिसमें	host जिसमें
htmlएचटीएमएल	htmlhtml
htmlएचटीएमएलकोड	htmlhtmlcode
htmlएचटीएमएललागू	htmlhtmlapply
htmlएचटीएमएलवेल्यूमानके	htmlhtmlvaluekey
htmlएचटीएमएलहै	htmlhtmlis
htmlकोड	htmlcode
hydrogenऔर	hydrogen और
hydrogenबॉन्ड	hydrogenbond
hऔर	h और
hलाइन	h लाइन
hलाइनडालते	h लाइनडालते
icofoamध्यान	icofoam ध्यान
idटैग्सtagsहैं	idtags
idसंख्यात्मक	id संख्यात्मक
ifकोष्ठकों	if कोष्ठकों
indicatorsऔर	indicators और
insertपर	insert पर
intraमॉलिक्यूलर	intramolecular
iostreamसे	iostream से
ipythonहेल्प	ipythonhelp
itemनामक	item नामक
javaका	java का
jdkवर्जन17	jdkversion
karneपर	karne पर
learnकमांड	learncommand
leftअलाइन	leftalign
leftपर	left पर
lineदरline	line दर
lineपर	line पर
loggedइन	logged इन
loopलूपमें	loop लूपमें
lotsपर	lots पर
lowसे	low से
lदबाएँ	l दबाएँ
machineदरmachine	machine दर
managerखुलता	manager खुलता
marc21	21-Mar
meshबन	mesh बन
methaneअणुओं	methane अणुओं
methanolमें	methanol में
methodड्रॉपडाउन	methoddropdown
mmff94का	mmff94 का
mmff94चुनें	mmff94 चुनें
modeके	mode के
moleculeचुनें	molecule चुनें
momentपोलर	momentpolar
mondayशून्य	monday शून्य
more…पर	more… पर
mrcडेटा	mrcdata
multiडाइमेंशनल	multidimensional
mybeanऔर	mybean और
nameमें	name में
nameसेमीकॉलन	namesemicolon
nanotubeकार्बन	nanotubecarbon
networkटाइप	networktype
nitroइथेन	nitroethane
no2हाइड्रॉक्सी	no2hydroxine
notificationsऔर	notifications और
nटाइप	ntype
nवाँ	n वाँ
nवें	n वें
odsफाइल	ods फाइल
odsफॉर्मेट	odsformat
okपर	ok पर
optimalऑप्शन	optimaloption
optimizationबंद	optimization बंद
ordersingleकी	ordersingle की
orthonitrophenolमें	orthonitrophenol में
oxygenके	oxygen के
panelपर	panel पर
panelसे	panel से
passwordजो	password जो
passwordसंरक्षित	password संरक्षित
pdbकोड	pdbcode
pentagonवृत्त	pentagon वृत्त
photoआईडी	photo आईडी
phpको	php को
phpपीएचपी	phpphp
phpपीएचपीइस्तेमाल	php पीएचपीइस्तेमाल
phpपीएचपीकोड	phpcode
phpपीएचपीटेक्स्ट	phptext
phpपीएचपीटैग्सtagsबनाने	phptags
pickerके	picker के
plot2ddemडेमsce	plot2ddem डेम
pluginsपर	plugins पर
pluginsमेनू	pluginsmenu
popsअप	pops अप
popअप	pop अप
portसंचार	port संचार
printlnब्रैकेट्स	printlnbrackets
printपर	print पर
propertiesमें	properties में
psआदि	ps आदि
qualityऔर	quality और
qualityस्लाइडर	qualityslider
quotesका	quotes का
ramuऔर	ramu और
randका	rand का
rangeडायलॉग	rangedialogue
rbनाम	rb नाम
recovery/अपडेट/पुनः	recovery/update
rightएंगल्ड	rightangled
rightक्लिक	rightclick
rlabelस्पेस	rlabelspace
rollनंबर	rollnumber
rowदरrow	row दर
rubyइंटरप्रेटर	rubyinterpreter
rubyकोड	rubycode
sansमें	sans में
scilabडाउनलोड	scilabdownload
sectionवार	section वार
sedद	sed द
semiकॉलन	semicolon
settingsडायलॉग	settingsdialogue
settingsडायलोग	settingsdialogue
settingsमेनू	settingsmenu
setअप	set अप
setडिवीज़न	setdivision
sheetटैब	sheettab
sidebarपर	sidebar पर
sideवाइज	sidewise
singleडाइमेंशनल	singledimensional
slideऑप्शन	slideoption
someपर	some पर
space/home/arc/files/एंटरटेनमेंट/music	space/home/arc/files/entertainment
space/home/मेरी	space/home/ मेरी
space/यूज़र/bin	space/user
speciesका	species का
speciesको	species को
speciesक्या	species क्या
sqlएडिटर	sqleditor
startबटन	startbutton
statementsस्टेट्मेन्ट	statements
statementस्टेटमेंट	statement
statementस्टेट्मेन्ट	statement
stickचेक	stickcheck
stickभी	stick भी
streamवाइज़	streamwise
structureडायलॉग	structuredialogue
submitटाइप	submittype
subप्वाइंट	subpoint
subफ़िल्ड	subfield
suggestionटैब	suggestion टैब
sशब्द	s शब्द
tableटाइप	tabletype
tagsटैग्स	tags
teamकार्यशालाएं	team कार्यशालाएं
testनामक	test नामक
textareaमें	textarea में
themeइस	theme इस
thisशीर्ष	this शीर्ष
thursdayगुरूवार	thursday गुरूवार
toolआइकन	toolicon
toolउपयोग	tool उपयोग
TRUE	TRUE
typesका	types का
typesको	types को
typesड्राप	types ड्राप
typesप्रदर्शित	types प्रदर्शित
typesमें	types में
typesमेनू	typesmenu
typesसक्रिय	types सक्रिय
typeके	type के
typeचुनें	typechoose
typeचेकबॉक्स	typecheckbox
typeडायलोग	typedialogue
uffफ़ोर्स	ufforce
underlineनामक	underline नामक
unअसाइन	assign
upअध्याय	up अध्याय
valueअच्छा	value अच्छा
valueएको	valueecho
valueवैल्यूहोगी	value वैल्यूहोगी
variablesको	variables को
viewऑप्शन	viewoption
visibleपर	visible पर
vrmlफाइल	vrmlfile
weजब	we जब
widthऑप्शन	widthoption
withड्राप	withdrop
writeएंगल्ड	writeangled
xअक्ष	x अक्ष
xएक्सिस	xaxis
xज़ीरो	xzero
yअक्ष	y अक्ष
yएक्सिस	yaxis
yदबाएं	y दबाएं
z<4एंटर	z<4enter
z=%परसेंटेजz	z=%percentage
zoomइन	zoomin
zएक्सिस	zaxis
~	~ ~
λ	λ λ
μ	μ μ
φ	φ φ
अंकगणित8IU	अंकगणित
अंडरस्कोर	underscore
अंडरस्कोर@_	underscore
अंडरस्कोरunderscore	underscore
अंडरस्कोरअधोरेखागेटdollar	underscoreunderlinegate
अंडरस्कोर्स	underscores
अंडाकार	underscore
अंडू	undo
अंतत:	अंतत
अंदर:	अंदर
अंदरspokentutorial	अंदर
अक्षर/number/पंगक्चूएशन	number अक्षर पंगक्चूएशन
अच्छा!	अच्छा
अत:	अत
अतंत:	अतंत
अतःfopen	अतः
अतःphp	अतः
अधोरेखाunderscore	अधोरेखा
अनto	अन
अपarrow	arrow अप
अपnoडेट	no अप डेट
अपtodate	todate अप
अपलोड	upload
अपलोडेड	upload
अपवर्ड	upward
अब/home/gnuhata	अब
अब/runcelldesigner43	अब
अबls	अब
अबurl	अब
अरिथ्मेटिक	arithmetic
अरिथ्मेटिकल	arithematical
अरिथ्मैटिक	arithmetic
अरैarray	array अरै
अरैarrayकह	array अरै कह
अरैarrayके	array अरै के
अरैarrayको	array अरै को
अरैarrayबनाने	array अरै बनाने
अरैarrayमें	array अरै में
अरैजarrays	arrays अरैज
अरैजarraysहै	arrays अरैज है
अरैज़arrays	arrays अरैज़
अर्गुमेंट्स	Arguments
अर्ग्युमेंट्स	Arguments
अर्थातcarservice	carservice अर्थात
अर्धविरामsemicolon	semicolon अर्धविरा
अलाइनमेंट	alignment
अलाइन्मन्ट	alignment
अल्गोरीदमों	Algorithms
अल्फ़ा	alpha
अल्फा	alpha
असोसीटिवassociativeअरैarray	associativearray
आइकॉन	icon
आइटम	item
आइटम्स	items
आइडेंटिटी	identity
आइडेन्टिटी	identity
आई	I
आईआई	II
आईआईटी	IIT
आईआईटीबॉम्बे	IITBombay
आईओ	io
आईकन	icon
आईगन	Igan
आईटी	it
आईडी	Id
आईडीkeysकीज़	keys आईडी कीज़
आईडीnumeric	numeric आईडी
आउटपुट	Output
आउटपुटoutput	output
आउटपुट्स	Outputs
आउटर	outer
आउटलाइन	outline
आउटुपट	output
आकर्षक	Attractive
आकर्षित	Attracted
आखिरीresultbalance	resultbalance आखिरी
आगे:	आगे
आयन	ion
आयनिक	ionic
आयनों	anion
आयरन	Iron
आरएमi	आरएम
आर्गुमेंट	argument
आर्गुमेंट्स	Arguments
आर्ग्य़ुमेंट	Argument
आर्ग्युमेंट	Argument
आर्ग्युमेंटस	arguments
आर्ग्युमेंट्स	Arguments
आर्ग्युमेन्ट्स	Arguments
आर्ग्यूमेंट	Argument
आर्ग्यूमेंट्स	Arguments
आर्टिकल	Article
आर्य	arya
आह!	आह
इंक्लूसिव	inclusive
इंजीनियरिंग	engineering
इंटनेट	internet
इंटर	inter
इंटरनेट	Internet
इंटरपोलेट	Interpolate
इंटरपोलेशन	Interpolation
इंटरप्रेटर	interpreter
इंटरफ़ेस	interface
इंटरफेस	interface
इंटरफेसinterface	interface
इंटरफैश	interfash
इंटरफैस	interface
इंटरमॉलिक्यूलर	intermolecular
इंटरेक्शन्स	Interactions
इंटरैक्टिव	interactive
इंटिजर	integer
इंटिजर्स	integers
इंटीग्रेट	Integrate
इंटीजर	Integer
इंटेंड	intent
इंट्रा	intra
इंट्रानेट	intranet
इंट्रामॉलिक्यूलर	intramolecular
इंड	ind
इंडिकेशन	indication
इंडीकेटर्स	indicators
इंडेंट	indent
इंडेंटेड	indented
इंडेंटेशन	indentation
इंडेक्स	index
इंडैन्ड	indand
इंड्यूस्ड	induced
इंतज़ार	Wait
इंपोर्ट	import
इंपोर्टrecords	import
इंपोर्टिग	Importing
इंप्रेस	impress
इंप्लिमेंट	Implement
इंफॉर्मेशन	information
इंवर्टेड	inverted
इंवर्टैड	inverted
इंसान	Human
इंस्टालेशन	installation
इंस्टैंस	instance
इंस्टैंसेस	instances
इंस्टॉल	install
इंस्टॉलर	installer
इंस्पेक्टर	Inspector
इएनवी	ENV
इकट्ठा	Collect
इकठ्ठा	gathered
इकाइयों	units
इकाई	Unit
इकॉनॉमिक्स	economics
इक्लिप्स	Eclipse
इक्वल	Equal
इक्वलto	Equal
इक्वलटू	equal to
इक्वलिटी	equality
इक्वल्स	Equals
इक्वालिटी	Equality
इक्वेशन	equation
इक्वेशन्स	equations
इक्स्पोश़र	Exposure
इक्स्लामेशन	Exclusion
इक्स्लामेसन	Excellence
इटरेट	iterate
इटरेशन	iteration
इटरेशन्स	iterations
इटेलिजेंट्स	Intelligents
इथेन	ethane
इथेनॉइक	ethnoic
इथेनॉल	ethanol
इनobjects	object इन
इनटू	Into
इनपुट	input
इनपुटinput	input
इनपुट्स	inputs
इनफार्मेशन	information
इनफॉर्मेशन	information
इनबिल्ट	inbuilt
इनबिल्ड	inbuilt
इनबॉक्स	inbox
इनमे	in these
इनमें	in these
इनर	inner
इनलेट	inlet
इनवर्स	inverse
इनिक्वालिटी	inequity
इनिशलाइज	initialize
इनिशिअलाइज़	initialize
इनिशिअलाइज़र	initializer
इनिशियल	initial
इनिशियलाइज़	initialize
इनिशियलाइज़ेशन	initialization
इनिशियल्स	initials
इनिशिलाइज	initialize
इनिशीलाइज	initialize
इनिशीलाइज़ेशन	initialization
इनिसिलाइज	initialize
इनिसिलीइज	initialize
इनिसीलाइज	initialize
इनीशिलाइज	initialize
इनीशिलाइज़ेशन	initialization
इनीशिलाइजेशन	initialization
इनीशिलाज	initialization
इनुपट	input
इनेबल	enable
इन्क्रिमेंट	increment
इन्क्रिमेन्ट	increment
इन्क्रीमेंट	increment
इन्क्लूड	include
इन्टरनेट	internet
इन्टर्सेक्शन	Intersection
इन्टिग्रिटी	Integrity
इन्टिजर	integer
इन्टीजर्स	integers
इन्डविजूअल्स	Individuals
इन्डेक्सिज़	indices
इन्डेन्टेशन	indentation
इन्फॉर्मेशन	information
इन्फो	info
इन्फोर्मेशन	information
इन्बिल्ट	inbuilt
इन्व	inv
इन्वर्टेड	inverted
इन्वाइरन्मेन्ट	environment
इन्वाइरन्मेन्टल	environmental
इन्वायरमेंट	environment
इन्वोक	invoke
इन्सर्ट	insert
इन्स्टॉल्ड	installed
इफ़ेक्ट	Effects
इफेक्ट्स	Effects
इमेज	image
इमेज1868	image1868
इमेजेस	images
इमेजों	images
इमेज्स	images
इमेल	email
इमेलemail	email
इमेल्सemails	emails
इमैज	image
इमैजेस	images
इम्पॉर्टेंट	important
इम्पॉर्टेन्ट	important
इम्पोर्ट	import
इम्पोर्टेड	Imported
इरेजर	eraser
इरेज़र	eraser
इल	II
इवेंट	event
इशू	issue
इसमेंspoken	इसमें
इसलिए>	इसलिए
इसेmenu	इसे
ईelearning	ई
ईemail	ई
ईक्वलिब्रीअम	Equilibrium
ईक्वल्स	equals
ईमेल	email
ईमेलemail	email
ईमेलआई	emailid
ईमेलआईडीemailid	emailid
ईमेल्स	emails
उदाहरण:	उदाहरण
उदाहरणस्वरुप:	उदाहरणस्वरुप
उदाहरणस्वरुपjpeg	उदाहरणस्वरुप
उदाहरणस्वरूप:	उदाहरणस्वरूप
उद्धरणचिन्हquotes	quotes उद्धरणचिन्ह
उद्धरणचिन्होंquotesका	quotes उद्धरणचिन्हों का
उद्धरणचिह्नोंsingle	उद्धरणचिह्नों
उपdirectories	directory उप
उपoptions	options उप
उपpoints	point उप
उसlayer	layer उस
ऍफ़	f
एंकर	anchor
एंक्रिप्टेड	encrypted
एंगल	angle
एंगल्स	angles
एंजाइम	enzymes
एंटर	enter
एंट्री	Entry
एंट्रीज़	Entries
एंड	end
एक:	एक
एकलoperation	एकल
एकोecho	echo
एकोecholast	echo
एकोechoकरता	echo करता
एकोechoकरते	echo करते
एकोechoकरने	echo करने
एकोechoकरूँगा	echo करूँगा
एकोechoकरें	echo करें
एकोechoकरेंगे	echo करेंगे
एकोechoकरेगा	echo करेगा
एकोechoकहकर	echo कहकर
एकोechoनहीं	echo नहीं
एकोechoसे	echo से
एकोechoहुआ	echo हुआ
एक्जीक्यूटेबल	executable
एक्जीक्यूशन	execution
एक्शन	action
एक्सटेंड	extend
एक्सटेंशन	extension
एक्सट्रैक्ट	extract
एक्सट्रैक्शन	extraction
एक्सपाइरी	expiry
एक्सपी	xp
एक्सपोनेंट	exponent
एक्सपोनेंट:	exponent
एक्सपोनेंशियली	exponentially
एक्सपोर्ट	export
एक्सप्रेशंस	expressions
एक्सप्रेशन	expression
एक्साम्पल्स	examples
एक्सिक्यूट	execute
एक्सिट	exit
एक्सिस	axis
एक्सीस	axis
एक्सेक्पशन	exception
एक्सेप्टर	acceptor
एक्सेप्शन्स	exceptions
एक्सेस	access
एक्सेसर	accessor
एक्स्टेंशन	extension
एक्स्टैक्ट	extract
एक्स्ट्रैक्ट	extract
एक्स्पाइरी	xpirye
एक्स्पोर्ट	export
एक्स्प्रेशन	expression
एक्स्प्लोर	explore
एग्ज़िट	exit
एग्जिट	exit
एच	h
एचटीएमएल	html
एचटीएमएलhtml	html
एज	as
एज़	as
एजुकेशन	education
एजेंसी/बीसी	agency bc
एट	at
एट्रिब्यूट	attribute
एट्रीब्यूट	attribute
एट्रीब्यूट्स	attributes
एडमिन	admin
एडमिस्ट्रेटर	administrator
एडवांस्ड	advanced
एडवांस्डउच्च	AdvancedHigh
एडिट	edit
एडिटedit	edit
एडिटर	editor
एडिटिंग	editing
एडिशन	edition
एडीशन	edition
एड्रेस	Address
एड्रेसिंग	addressing
एड्रैस	address
एन	n
एनएमइआईसीटी	nmeict
एनएमईआईसीटी	nmeict
एनकोड	encode
एनालिसिस	analysis
एनिमेट	animate
एनीमेट	animated
एनीमेटेड	animated
एनीमेशन	Animation
एनेबल	enable
एनोटेशन्स	annotations
एन्कोडिंग	encoding
एन्क्रिप्ट	encrypt
एन्क्रिप्टिंग	encrypting
एन्क्रिप्टेड	encrypting
एन्क्रिप्शन	encryption
एन्जनीरिंग	engineering
एन्टर	enter
एन्ड	end
एन्थ्रासीन	anthracene
एन्वाइरन्मन्ट	environment
एन्वाइरन्मेन्ट	evironmente
एप्रोच	approach
एप्लाई	apply
एप्लिकेशन	application
एप्लिकेशन्स	applications
एप्लीकेशन	applications
एप्लीकेशन्स	applications
एप्लेट	applet
एब्सोल्यूट	absolute
एम	m
एमएचआरडी	mhrd
एमएस	ms
एमिनो	amino
एम्परसेंड	ampersand
एम्परसेंडचिह्न	ampersand sign
एम्परसैंड	ampersand
एम्पलीफायर	amplifier
एम्पीयर	ampere
एम्प्रसेंड	ampersand
एम्प्रसैंड	ampersand
एम्प्लिट्यूड	amplitude
एम्प्लीफायर	amplifier
एम्प्लॉई	employee
एम्बेडेड	embedded
एरर	error
एरर!	error
एररerror	error
एररerrorको	error
एररerrorनहीं	error
एररerrorमिलने	error
एररerrorसूचना	error
एररerrorहै	error
एररpauseमिलती	error
एररलोग	error
एररों	error
एरर्स	error
एरर्सerrors	errors
एरर्सerrorsआपको	errors
एरर्सerrorsहोना	errors
एरिया	area
एरियाज़	areas
एरेज़	arrays
एरो	arrow
एरोमेटिक	aromatic
एरोहेड्स	arrowheads
एर्रोस	arrows
एल	l
एलाइजिंग	aliasing
एलाइनमेंट	alignment
एलाइस	alice
एलिमेंट	element
एलिमेंट्स	elements
एलिमेंट्स1	elements
एलिमेन्ट्स	elements
एलीमेंट	element
एलीमेंट्री	elementary
एलीमेंट्स	elements
एलीमेन्ट्स	elements
एलीम्नेट्स	elements
एलेक्स	alex
एलेक्सalex	alex
एलेक्सelex	alex
एल्केन	alkane
एल्गोरिदम	algorithm
एल्फा	alpha
एवं	alpha
एवजी	instead
एवरेज	average
एस	s
एसएच	sh
एसएल	sl
एसटीडीआईएन	stdin
एसटीडीइआरआर	stderr
एसिड	acid
एसिड्स	acids
एस्ट्रिक	astricks
ए्ंटर	enter
ऐंगअल	angle
ऐंगगल	angle
ऐकडेमिक	academic
ऐक्सेलरेशन	acceleration
ऐक्सेस	access
ऐक्सेसरीज़	accessories
ऐज	edge
ऐट	add
ऐट्रिब्यूट्स	attributes
ऐड	add
ऐडीशन	edition
ऐडीशन:	edition
ऐड्रेस	address
ऐनोटेट	annotated
ऐब्सल्यूट	absolute
ऐम्पर्सैन्ड	ampersand
ऐरेज़	arrays
ऐरो	arrow
ऐलेक्स	alex
ऐस्ट्रिक	asterisk
ऐस्ट्रिस्क	astric
ऐस्ट्रीक	asterisk
ऑक्सीजन	astreak
ऑटो	auto
ऑटोडेबिट	autodebit
ऑड	odd
ऑडियो	audio
ऑडियोवीडियो	audiovideo
ऑथेंटिकेशन	authentication
ऑथेन्टकैशन	authentication
ऑथेन्टिकैशन	authentication
ऑन	on
ऑनलइन	online
ऑनलाइन	online
ऑपरेंड	operand
ऑपरेट	operate
ऑपरेटर	operator
ऑपरेटर्स	operators
ऑपरेटिंग	operating
ऑपरेशंस	operations
ऑपरेशन	operations
ऑपरेशनs	operation
ऑपरेशन्स	operation
ऑपरैंड्स	operands
ऑपश्नल	optional
ऑपिस	office
ऑपेरशन	optimum
ऑप्टिमम	optimum
ऑप्टिमाइज़	Optimize
ऑप्टिमाइज़ेशन	optimization
ऑप्शंस	options
ऑप्शन	Option
ऑप्शनल	optional
ऑप्शन्स	options
ऑफ	off
ऑफसेट	offset
ऑफ़	off
ऑफिस	Office
ऑफिसियल	Official
ऑब्जेक्ट	object
ऑब्जेक्टिव	objective
ऑब्जेक्ट्स	objects
ऑय	Oy
ऑर्गैनिक	organic
ऑर्डर	order
ऑर्डरorder	order
ऑर्डर्स	orders
ऑर्डिनरी	Ordinary
ऑर्बिटल	orbital
ऑर्बिटल्स	orbitals
ऑर्बिटल्सfill	orbitals
ऑल	all
ओ	O
ओके	Ok
ओपन	open
ओपनफोम	openfoam
ओपनिंग	opening
ओर	And
ओरिएंटेड	Oriented
ओरीएन्टेशन	orientation
ओर्बिटल्स	orbitals
ओऱ	oh
ओवर	over
ओवरड्रॉफ्ट	overdraft
ओवरराइट	overwrite
ओवरराइड	override
ओवरले	overlay
ओवरलेड	overlaid
ओवरलैप	overlap
ओवरलैप्स	overlaps
ओवरलोड	overload
ओवरलोडिंग	overloading
ओवरलोडिंगफंक्शन	overloadingFunction
ओवरव्यू	Overview
ओवर्राइड	override
ओह	Oh
ओह!	Oh
औए	and
औके	OK
और/या	और या
और1	और
औरalign	align और
औरcatch	catch और
औरcreate	create और
औरf	f और
औरfieldsपर	fields और पर
औरfirefox	firefox और
औरgenerate	generate और
औरhome	home और
औरsave	save और
औरstr2	str और
औरsystem	system और
कँपकँपाती	shivering
कंज्युमिंग	consuming
कंटीन्युअस	Continuous
कंटीन्यूअस	Continuous
कंटेंट	Content
कंटेंट्स	Contents
कंटेनर	Container
कंट्रीब्यूटर	Contributor
कंट्रोल	control
कंट्रोल्स	Controls
कंडिशन	Condition
कंडिशनcondition	Condition
कंडिशनल	conditional
कंडिशऩ	Condition
कंडीशंस	Conditions
कंडीशन	Condition
कंडीशनल	conditional
कंडीशन्स	Conditions
कंडीशऩ	condition
कंधे	shoulder
कंपनी	company
कंपाइल	compile
कंपाइलिंग	Compiling
कंपाइलेशन	compilation
कंपाउंड	Compound
कंपेरिजन	comparison
कंपोनेंट्स	components
कंप्यूटर	Computer
कंफिगर	configure
कंफिगरेशन	configuration
कंफिगिरेशन	configuration
कंबाइन	Combine
कंवर्टर	converter
कंसोल	console
कंस्ट्रक्टर्स	constructors
कंस्ट्रेंट	constrain
कंस्ट्रेंट्स	constrains
कईcolumns	columns कई
कट	cut
कनेक्ट	connect
कनेक्टconnect	connect
कनेक्टर	connector
कनेक्टर्स	connectors
कनेक्टिविटी	connectivity
कनेक्शन	connection
कनैक्शन	connection
कनैक्शनन्स	connections
कन्टुर	contour
